COMMENTS,SITE_NAME,BAND,LAT,LONG,SECTOR,Marker 
"Site outwith the modelled location and seabed survey carried outwith the correct sampling period.
","Hellisay, Sound of Hellisay, Isle of Barra",Poor,57.0064739,-7.3399081,Fish farming,1
-,Tormaukin Hotel Glendevon Dollar,Poor,56.2219391,-3.6263679,Sewage (Private),1
The final effluent discharge from the site is in breach of its licence conditions.,"Nutberry Moss, Eastriggs",Poor,54.9954301,-3.1636957,Other Effluent,1
"Unsatisfactory benthic survey reported during 2014.
","Creag an Sagairt (West), Arnisdale, Glenelg",Poor,57.1267918,-5.6371032,Fish farming,1
"The authorised daily abstraction limit was breached on five occasions, amounting to a Significant breach overall.","Luffness Mains Farm, Longniddry",Poor,56.0079929,-2.8308876,Water Resources ,1
"Despite continued improvements by the operator, the current minewater treatment facility is still failing limits. However, the new minewater treatment facility is currently under construction, with the first lagoon expected online in the next 3-4 months. The discharge standard is expected to improve significantly with the introduction of the new, more appropriately sized system.
","Muir Dean Surface Mine, Crossgates",Poor,56.074052,-3.3644095,Other Effluent,1
The final effluent discharge from the site is in breach of its licence conditions.,"Black Esk WTW, Sandyford, Nr Lockerbie",Poor,55.2298512,-3.2581074,Other Effluent,1
There was an over abstraction in June where the volume abstracted was more than double the limit and SEPA were not notified.,Dumfries & Galloway Golf Club,Poor,55.0654319,-3.626735,Water Resources ,1
Repeated minor non compliance as the daily abstraction limit was exceeded on four occassions in 2014.,Roxburghe Golf Course,Poor,55.5589203,-2.4702124,Water Resources ,1
The overall compliance band for this site is poor because the data return showed that the rate of abstraction exceeded the licence limit by more than 20% on three separate occasions. SEPA is working with the operator to ensure compliance in 2015. ,"Milton Of Connage, Ardisier, Inverness-shire",Poor,57.5616393,-4.0371736,Water Resources ,1
-,"Glendevon WTW, Dollar",Poor,56.2042122,-3.6183686,Other Effluent,1
The operator has recently been granted a variation to their licence for the installation of an improved wastewater treatment system consisting of the addition of reed beds and willow soakaway to improve the effluent from the existing wastewater treatment plant.  Once this new system has established suitable growth there should be an improvement in the performance of the site for 2015.,"Ban Car Hotel Ltd, Main Road, Lonmay",Poor,57.6183412,-1.9675145,Sewage (Private),1
The overall CAS for 2014 is 'Poor' due to three gross breaches of the discharge quality standard for total residual chlorine. Also minor issue with outfall plume.,Howden WTW,Poor,55.5390763,-2.8627704,Other Effluent,1
Non-submission of 2014 abstraction data returns,Rathburn Chemicals (MFG) Ltd,Poor,55.623767,-3.0204204,Other Effluent,1
2 significant exceedences and 4 minor during 2014,Dounreay New Low Level Waste Facilities,Poor,58.5851749,-3.7310087,Water Resources ,1
"Major non compliances against EMC's relating to maintenance of plant, infrastructure and monitoring equipment (including calibration), and the operational condition of plant and infrastructure","Howgate, Midlothian",Poor,55.8103509,-3.2022876,Sewage (Public),1
Improvements in some areas of permit compliance but ongoing issues regarding lack of continuous monitoring data and combustion chamber temperature still evident.,Rockwell Solutions Ltd,Poor,56.4762778,-3.0516291,Other Activities,1
Exceedences for Ammoniacal Nitrogen and BOD in the aqueous discharge ,"Highland Council,Seater L/F,Bower,Caithness",Poor,58.524751,-3.2920452,Waste,1
"Failure to maintain some plant and infrastructure, together with the occasional breach of the odour at the boundary condition, has led to the current Poor classification. Towards the end of the compliance year TWMA invested heavily in resolving identified failings. ","TWMA - Dales Ind Est, Peterhead",Poor,57.493188,-1.8182502,Waste,1
"Monitoring equipment failure led to enforcement action being taken in 2014, with the Operator putting in place a more robust testing regime and replacment of  equipment. The Operator has worked hard to improve the situation in conjunction with SEPA 



","Dundee Energy Recycling, Baldovie, Dundee",Poor,56.4858492,-2.9021078,Waste,1
"Site at ""poor"" status due to management issues that constituted Condition breaches. In addition site failed to provide reports and in cases where reports were submitted the explanation of the trends in the data lacked suitable explanation. These constitute breaches of Environmental Management Conditions. ","JM Murdoch, East Capellie Farm L/F, Neilston",Poor,55.7976456,-4.4342486,Waste,1
Repeated numeric standard exceedences for Ammonia in treated leachate discharge. Compliance with Ammonia limits achieved mid 2014 following site improvements.,Lingerton Landfill Site,Poor,56.013058,-5.4217525,Waste,1
"Poor rating for 2014 was a result of non-compliances with permit conditions relating to plant and infrastructure (monitoring wells, litter etc) and a number of breaches of the conditions relating to the application of adequate daily cover and compaction of the waste.  One gross environmental limit breach was recorded regarding the acceptance of inappropriate wastes (tyres) to site.","West Carron Landfill, Stenhouse Rd, Falkirk",Poor,56.0200364,-3.8014061,Waste,1
The BP score was disputed by the company and following a review by SEPA this was recently  improved to a rating of poor. The poor rating  relates to Permit breaches concerning the  availability of ground flare equipment and maintenance of a drain. SEPA is actively working with BP to target the areas which gave rise to the poor compliance score,"BP Exploration, Kinneil Terminal, Grangemouth",Poor,56.0059707,-3.67143,Energy,1
This result will be reviewed imminently on the outcome of a permit variation which SEPA is currently determining. An improvement in the CAS score is a possible outcome,Petroineos Manufacturing Scotland Ltd,Poor,56.0200472,-3.6869431,Energy,1
Site rated poor in 2014 due to 'major' management condition breaches relating to condition of surfaces and a 'gross' environment limit condition breach relating to the failure to submit data returns.  ,"Walsh Bros Ind Serv TS,15 -17 Castle St,Alloa",Poor,56.1113105,-3.796951,Waste,1
"The overall compliance band for 2014 is poor due to major in year breaches of environmental management conditions and a gross breach of an environmental limit condition. The management breaches specifically relate to conditions concerning waste acceptance, handling and tracking procedures and also emergency response procedures and housekeeping. The environmental limit condition breach recorded is with respect to records not being made available as part of the company waste tracking procedure to enable an assessment of permitted waste storage quantities.
","Healthcare Environmental,Calderhead Rd, Shott",Poor,55.8272397,-3.8140697,Waste,1
"Condition breaches of lower tier numeric standard for Ammonia in leachate discharge,  agreed actions to investigate and address.","Glengorm Landfill Site, Glengorm Rd, Tobermor",Poor,56.6256851,-6.0983221,Waste,1
"7 breaches of permit conditions including condition 3.5.2 - a risk of pollution to the water environment.
","Sapphire Mill, Glenwood Road, Fife",Poor,56.2009721,-3.20714,Other Activities,1
"Poor maintenance and diesel leak from generator 
","Strathruddie Poultry Farm, Kirkcaldy",Poor,56.1617025,-3.265193,Other Activities,1
Operator assessed as poor for 2014 following a significant breach of waste types acceptable for disposal.,"Carscallan Farm Landfill, Quarter, Hamilton",Poor,55.748505,-4.037044,Waste,1
Poor status due to the non return of data regarding annual solvent consumption as per licence conditions.,"Solus Crash Repair Centre, Cumbernauld",Poor,55.9451362,-3.9764975,Other Activities,1
Issues associated with operational and procedural control of the cremation process,"Mortonhall Crematorium, Edinburgh",Poor,55.9026177,-3.1702563,Waste,1
Mobile Plant was found to be operating without a copy of the permit present and the operators could not demonstrate a working knowledge of its requirements. This has now been rectified and SEPA anticipates improved compliance in 2015,Mobile Plant - Tennants (Elgin) Ltd,Poor,57.6537136,-3.3509077,Minerals,1
"During the compliance year a number of minor non-compliances were identified which include maintenance of equipment.
A Gross non-compliance was identified as operator failed to provide dust suppression equipment which is a condition of the Permit.","Precon Blocks, Hornock Road, Coatbridge",Poor,55.8701153,-4.0333233,Minerals,1
 Breaches of Carbon Monoxide and Particulate matter conditions ,"Linn Crematorium, Lainshaw Drive, Glasgow",Poor,55.8016642,-4.2605706,Waste,1
 Breaches of Carbon Monoxide and Particulate matter conditions ,"Daldowie Crematorium, Hamilton Rd, Glasgow",Poor,55.8321357,-4.1138303,Waste,1
Solvent annual consumption Data return and Particulate matter sampling   have not been submitted for 2014.  ,"Mitchell Inglis, 1033 South Street, Glasgow",Poor,55.8755593,-4.3492243,Other Activities,1
Operator failed to submit data return reports as required as a condition of Permit which resulted in a Gross breach and Major breach. ,40 Stronend Street Glasgow G22 6AR,Poor,55.8852458,-4.2606313,Other Activities,1
"Lack of absorbant material on site, solvent drums not placed on spillage collectors, gross non compliance with solvent emission limit.",Springburn Laundrette Glasgow,Poor,55.8857561,-4.2227628,Solvents SED,1
Inspection in January highlighted lack of knowledge of permit or permit conditions. Dry cleaning machine in use not that detailed in permit. Operator had changed without application to transfer permit.,"Partick Ular, Dumbarton Road, Glasgow",Poor,55.8709196,-4.301359,Solvents SED,1
"Lack of accurate records, operator unaware of volume of waste solvent and can only estimate weight of clothes cleaned. ","The Steamshop, Hyndland Road, Glasgow",Poor,55.8760072,-4.3055347,Solvents SED,1
Permit compliance has been assessed as Poor due to loss of vapour recovery unit following pump failure. This resulted in unabated emissions .  Condition monitoring of pumps has been put in place as corrective action. ,Petroineos Manufacturing Scotland Ltd,Poor,56.0273844,-3.6911948,Energy,1
Annual report recorded  incorrect  data ,"Wm Morrison Supermarkets plc, Johnstone",Poor,55.838602,-4.5170152,Solvents SED,1
Partial continuous monitoring data   and no 2014 annual stack spot sampling report submitted ,"The Pet Crematoruim,3 Telford Av, Larkhall",Poor,55.726546,-3.957126,Waste,1
"The site failed to submit end of year solvent returns. Upgrade requirements were partly completed, however some work is still outstanding resulting in a major and minor non-compliance. ",A Gray & Sons Ltd 24 Main St Glenboig,Poor,55.8933077,-4.0425833,Other Activities,1
"The site was taken over by Luce Plant Hire Ltd in November 2014. SEPA advised that the permit would have to be transfered to the new operator.
The site inspection identified areas for improvement including developing  appropriate management plans for the site, improved record keeping, recording more detailed emission monitoring data and providing raising staff awareness with the requirements of Permit to ensure compliance.","Aird Quarry,  Castle Kennedy",Poor,54.9010362,-4.9671207,Minerals,1
Annual Reports not received,"Unit 22, Flemington Ind Est, Motherwell",Poor,55.7839318,-3.9641781,Other Activities,1
1 Gross breach regarding waste placement outwith IVC building and 1  Repeated Minor breach for 3 separate breaches of the pH limits for the leachate.,"Levenseat Waste Management Site, Lanarkshire",Poor,55.7991996,-3.6878119,Waste,1
Poor status for 2014  due to several breaches of Permit conditions.  Repairs and maintenance planned for 2015 to alleviate the Permit condition breaches  ,"Lafarge Tarmac Ltd, Dunbar Plant, E.Lothian",Poor,55.9790112,-2.4714997,Minerals,1
"The operator has failed to submit certain VOC continuous monitoring, solvent fugitive emission compliance and resource usage data for 2014 to demonstrate compliance with permit conditions.","Discovery Flexibles Ltd, Kemback St, Dundee",Poor,56.4687887,-2.9555588,Other Activities,1
Breaches of several reporting conditions . Site currently no longer operating and in decommissioning stage but process operated until approximately 12 December 2014 and permit still in effect so operator still obliged to submit the information. ,"JT Inglis & Sons Ltd, Riverside Works, Dundee",Poor,56.4658281,-2.9409096,Other Activities,1
There were a number of SO2 (sulphur dioxide) failures recorded by the continous monitoring system from the abatement plant. It is expected that this will be improved upon early 2015 as maintenance and refurbishment planned ,"O-I Manufacturing, Glasshouse, Loan, Alloa",Poor,56.1111281,-3.8008345,Minerals,1
"Some breaches of permit ELVs over year, non-submission of reports or parts of reports and lack of appropriate continuous monitoring contributed to sub-standard performance in 2014. However, some of the non-compliances have been addressed in late 2014. Too late to influence the grading for 2014 but should result in an improved performance for 2015. Site continues to improve slowly ","Day International Ltd, Balgray St, Dundee",Poor,56.4785396,-2.9736797,Other Activities,1
Continuous monitoring results have breached Permit conditions limits.  Improvements and maintenance in 2015 will hopefully improve the monitoring results. ,"Norbord Europe Ltd, Station Rd, Cowie",Poor,56.0771141,-3.8697893,Other Activities,1
"Permit conditions breached . Failure to Notify SEPA of incidents. Breach of Odour, daily cover, and litter Conditions.","SITA, Binn Landfill, Binn Farm, Glenfarg",Poor,56.310044,-3.3334226,Waste,1
Permit conditions breached. Late submission of a report required under the licence.,"2 Sisters Poultry Limited, Coupar Angus",Poor,56.5435774,-3.2728591,Other Activities,1
"Multiple management condition breaches. There have also been issues with the dung midden store and lairage. The Poor status is a result of an accumulation of a number of minor breaches, 1 gross breach and a Major management breach regarding the bunding of the fat tank. ","Scotbeef Ltd, Longleys Farm, Bridge Of Allan",Poor,56.1529571,-3.9614296,Other Activities,1
The Operator has been experiencing ongoing leachate reduction issues at the installation and has failed to demonstrate compliance with the leachate head requirements in Phase 1. Other minor non-compliances related to offsite odours and litter were also noted.,"Stoneyhill Environ Pk, Peterhead, Aberdeen",Poor,57.4588807,-1.8753208,Waste,1
"There were lapses in meeting the manning requirements specified in the permit, however by later in the year this had been addressed.

","Nether Dallachy Landfill Site, Spey Bay",Poor,57.6623168,-3.0609189,Waste,1
"Barr Environmental Limited's compliance performance assessment for operating Auchencarroch Landfill Site during 2014 was poor. There were major non compliances with environmental management conditions concerning site infrastructure, reporting and leachate management.
","Barr Environ, Auchencarroch L/F, Jamestown",Poor,56.000338,-4.5502109,Waste,1
"Breaches of the emissions to water limits, and non-submission of incident reports resulted in the overall band indicated. SIte has already put into place measures to enforce sampling procedures.","Dundas Chemical Co, Mosspark, Dumfries",Poor,55.0638046,-3.562728,Other Activities,1
"The site has had several non complainces of permit conditions during 2014 compliance year, which included odour complaints which SEPA substantiated therefore this has resulted in an overall rating of poor.
","Enewall Ltd., 4 Netherton Road, Wishaw",Poor,55.7674784,-3.9352117,Minerals,1
"In relation to the site’s RSA authorisation, there were several breaches of the licence during the year. As a result enforcement action has been taken by SEPA which included  writing to DSRL  in relation to the site’s arrangements for the sampling of discharges and issuing a Notice of Variation to the site’s authorisation requiring  DSRL to undertake a range of improvements to its management arrangements.","DSRL, D2003, Dounreay, Thurso",Poor,58.5789086,-3.7433581,Nuclear,1
"Waste activities were being undertaken out with the licensed boundary.  Records were not available on site, and waste returns data was not being submitted to SEPA.  Skip wastes were being stored on site in excess of the periods authorised in the licence.  Full depollution of End of Life Vehicles (ELVs) was not being consistently carried out.  ELVs were being stored on hard standing prior to full depollution being carried out.","Lothian Auto Salvage, Engine Road, Loanhead",Poor,55.879106,-3.1460369,Metal Recycling & ELV,1
"Restoration at the site remains incomplete. Oversized waste still on surface of site. Site security issues; and notice board still to be erected.
","T Muir (Haulage), Balbie Farm L/F, Kirkcaldy",Poor,56.0886329,-3.2374154,Disposal & Associated Activities,1
"Waste Data Returns, received for Quarters 1, 2 and 4 for 2014, were submitted late. Repairs required to impermerable pavement. Storage of oily parts.
","W Stewart & Son ELV/MR, Back Dykes, E. Wemyss",Poor,56.1555177,-3.0679783,Metal Recycling & ELV,1
Sludge beds are registered as a failing site as the transfer station ceased operations in approx 2006. No records that the site was cleared prior to the cessation of operations. Consequently material has been stored on the site beyond the time period allowed in the Waste Management Licence. SW are addressing this issue and work to study and restore the site is programmed for SR15. This work is part of a National Legacy Sludge Management Programme.,"Scottish Water, Sludge Beds TS, Cupar",Poor,56.3209532,-2.9858798,Transfer Station & Associated Activities,1
"POOR score is reflected in the ELC Major for storing waste outwith the licensed area.  This issue has since been rectified by the WML Modification to the licensed boundary and should no longer be an issue looking to 2015.
The vehicle depollution process has been improved throughout the year as part of the National Initiative targeting all ELV sites.  ","Dalcrue Auto Salvage Ltd, Dalcrue, Methven",Poor,56.4347338,-3.5567276,Metal Recycling & ELV,1
"Multiple breaches of WML conditions lead to an Enforcement Notice being issued in April 2014.  
In September 2014 smaller scale waste operations began under a new trading name of 'Tartan Waste' as the previous waste business 'Caleco Waste' had been sold. This new operation appears to be being better managed.","Tartan Waste, Eldin Ind Est, Loanhead",Poor,55.8879994,-3.1462822,Transfer Station & Associated Activities,1
"The site is licensed to accept construction and demolition waste only, however other non-compliant waste types were noted on site during inspections, which has resulted in a rating of poor.","Dem-Master, Pottishaw Place, Bathgate",Poor,55.8790133,-3.6319835,Transfer Station & Associated Activities,1
The site has been continuing to accept End of Life Vehicles when the storage space within the licensed site is full.  This has resulted in storage of undepolluted ELVs on surfaces which do not drain to an oil interceptor both within and out with the licensed boundary.  Not all airbags where being removed/deployed from ELVs prior to crushing.  Not all waste return data was being submitted to SEPA.,"18 Greenburn, East Fortune, North Berwick",Poor,55.9989303,-2.7329117,Metal Recycling & ELV,1
The site is classed as poor due to management and record keeping issues.,"Bairnkine Sawmill, Jedburgh",Poor,55.4317795,-2.5494653,Metal Recycling & ELV,1
"No Waste Data Returns received for  2014. Other non-compliances raised in 2014 (waste tyre storage, other waste storage on site, site drainage of impermeable pavement where oily parts stored, no noticeboard, storage of fluids) have now been rectified.","Russells Auto Salvage ELV,Cable Rd,Glenrothes",Poor,56.1817796,-3.1806256,Metal Recycling & ELV,1
The overall CAS assessment for 2014 is Poor as a result of maintenance and management issues at the site causing non-compliance with a number of licence conditions. ,"Charterhall Airfield, Duns, Berwickshire",Poor,55.7090799,-2.3857418,Transfer Station & Associated Activities,1
"There is a partial suspension of licence which continues in to be in force. 
Non-compliances with site licence conditions were observed during inspection in 2014 
including storage of waste on site outside licensed boundary, storage of unauthorised wastes on site and evidence of burning on site. 
No data returns have been submitted to SEPA for 2014. 
","Murray Mentiplay TS, Rhynd House, Dunfermline",Poor,56.1044924,-3.539411,Transfer Station & Associated Activities,1
"Waste activities being carried outwith permitted operating hours.  Waste being stored on permeable surface. Substantied Env event of fouling of the public highway due to inadequate wheel washing of vehicles and also inadequate dust suppression.
","Stirling Road Transfer Station, Carluke",Poor,55.7434493,-3.8452047,Transfer Station & Associated Activities,1
Quantity of waste onsite is in excess of Licence Conditions. Quarterly returns have not been received on time,"Smiddyseat, Colpy Road, Turriff",Poor,57.5296145,-2.4392267,Transfer Station & Associated Activities,1
"Site accepting waste types not permitted in licence.  Operator has poor knowledge of licence conditions.  Working Plan requires to be reviewed.
","J&S Waste Management,21B Meadow Rd,Motherwell",Poor,55.7851903,-3.9787235,Transfer Station & Associated Activities,1
"Non-compliances noted; site infrastructure and storage of waste 
","J Dunsmore Recovery Ltd, Baird Ave, Larkhall",Poor,55.7222441,-3.9600545,Metal Recycling & ELV,1
-,"Causewayfold, Meikle Wartle, Inverurie",Poor,57.3725137,-2.4527611,Transfer Station & Associated Activities,1
-,"C & R Jamieson, 15 Forrest Street, Glasgow",Poor,55.8525153,-4.2187853,Metal Recycling & ELV,1
-,"Wyllie Recycling, Ruthvenfield Way, Perth",Poor,56.415946,-3.4788644,Transfer Station & Associated Activities,1
-,Tradeston Auto Salvage 130 Kilbirnie St Glasg,Poor,55.847268,-4.2663615,Metal Recycling & ELV,1
Does not meet standard of End of Life Vehicle regulations. No data Return for Q4 2014.,"Orkney Aggregates, Crowness Crescent, Hatston",Poor,58.989426,-2.9754526,Metal Recycling & ELV,1
"Numerous non-compliances noted; site infrastructure - mainly drainage issues, knowledge of licence and waste storage.  Some initial non-compliances have been rectified.
","Shawhill Station Yard, Scotts Street, Annan",Poor,54.9859926,-3.2507675,Metal Recycling & ELV,1
-,"Balmore Auto Parts,466 Denmark Street,Glasgow",Poor,55.8877776,-4.2504799,Metal Recycling & ELV,1
Site at Poor due to 1 Significant breach for a Cat 1 fire event and 2 Minor ELC breached for inappropriate storage of waste,"Sims Recycling Ltd, 3 Neil Street, Renfrew",Poor,55.886063,-4.3886095,Metal Recycling & ELV,1
-,Central Demolition Ltd Queens Quay Clydebank,Poor,55.8968831,-4.4052708,Transfer Station & Associated Activities,1
"The site has been abandoned by the operator with a significant number of tyres in the yard and an unknown quantity in the building. The yard gate is not secure and the number of tyres significantly exceeds the amount allowed by the licence.
",Unit1 Dunalistair York Rd Chapelhall Newhouse,Poor,55.8348468,-3.9537439,Other Treatment Activities,1
"Wrapped Refuse Derived Fuel (RDF) waste bales and kept at this site prior to export.  During 2014 the site was considered as unsatisfactory with regards to poor site surfaces, inappropriate storage of liquid containers and wastes being stored on site longer than authorised. SEPA continues to work with the licence holder to improve site surfacing and general management of the site.","Dow Waste TS, Central Dock Rd, Grangemouth",Poor,56.0232386,-3.7051337,Transfer Station & Associated Activities,1
"This site suffered a large scale fire in December 2012 which destroyed the primary infrastructure. Since that time waste has been kept on site in excess of authorised storage timescales and volume limits.  Waste has also been stored out with the licence boundary and there were a number of non-compliances recorded concerning pest control, odour, litter, site surfacing and site supervision. ","Kilbagie Mill, Kennet, Clackmananshire",Poor,56.0892543,-3.725514,Transfer Station & Associated Activities,1
-,"121 Barfillan Drive, Craigton, Glasgow",Poor,55.8505885,-4.3343312,Transfer Station & Associated Activities,1
"Waste being stored for longer than permitted and in greater volumes than permitted.   Knowledge of licence not demonstrated and waste data returns not submitted.
","Aspect Contracts Ltd, 95 Carron Place, EK",Poor,55.7447531,-4.16998,Transfer Station & Associated Activities,1
"This site went through a change of regime from Pollution Prevention Control to Waste Management Licensing during the reporting year. This resulted in initial teething problems, which resulted in  the CAS rating to moving to Poor.
","Inverboyndie Transfer Station, Inverboyndie",Poor,57.6676642,-2.5640496,Transfer Station & Associated Activities,1
-,"Guinea Enviro Ltd, 255 Lochburn Road, Glasgow",Poor,55.8933933,-4.2749881,Other Treatment Activities,1
"Site generally untidy, waste data returns not submitted by specified date and a lack of site signage as required by the waste management licence meant the overall compliance at the site was 'Poor'. However after working with the operator most of these none compliance issuesare being rectified.
","Cartmore Industrial Estate, Lochgelly",Poor,56.1391713,-3.3142716,Transfer Station & Associated Activities,1
"This site went through a change of regime from Pollution Prevention Control to Waste Management Licensing during the reporting year. This resulted in initial teething problems, which resulted in  the CAS rating to moving to Poor.",Kirkhill Waste Transfer Station,Poor,57.5643649,-1.9839139,Transfer Station & Associated Activities,1
"Site has been in breach of licence conditions regarding drainage and tonnage of stored waste for some time. Enforcement action is currently ongoing.

","Davidson Of Rora, Rora, Longside, Peterhead",Poor,57.5427768,-1.90594,Metal Recycling & ELV,1
"This site has been part of a project assessing ELV depollution sites within the team area.  Following inspection, a number of requirements were made requiring changes to operating procedures and provision of depollution equipment.  This was achieved within the timescales set by SEPA.","R Finnie Skip Hire, 32 Longman Dr, Inverness",Poor,57.490716,-4.2317997,Metal Recycling & ELV,1
Series of site issues in early 2014 appear to be improving by last inspection. SEPA continues to work with the operator to attain compliance ,"OIC Chinglebraes Waste TS, St Ola, Orkney",Poor,58.9646843,-2.9968462,Transfer Station & Associated Activities,1
There were odour complaints from the site during the year.  The Operator and SEPA are working towards a solution.,"Wm Munro Construction, Composting ABP & TS",Poor,57.6773947,-4.304707,Transfer Station & Associated Activities,1
"No impermeable working surfaces or sealed drainage system present within the site.
","11 Ratho Street, Greenock",Poor,55.9426325,-4.7329849,Transfer Station & Associated Activities,1
"Data returns not submitted; site infrastructure doesn't meet that required in the license / ELV guidance
","Abbey Car Breakers, Paisley",Poor,55.8580618,-4.42104,Metal Recycling & ELV,1
"Numerous non-compliance noted; Depollution process, waste storage periods , infrastructure, management proceedures and housekeeping. 
","Burnhead Road, Larkhall",Poor,55.7343651,-3.9469506,Transfer Station & Associated Activities,1
"Non-compliances noted; Knowledge of Licence and Working Plan, Record Keeping , Depollution and Site Drainage.
","Fallon Motor Spares, ELV Coatbridge",Poor,55.8710856,-4.0117171,Metal Recycling & ELV,1
"Non-compliances noted; Site drainage, operating systems and  housekeeping.
","Autorecycling Ltd,Cardean Rd ELV, Mossend G/Y",Poor,55.8204958,-3.9984237,Metal Recycling & ELV,1
"Numerous non-compliances noted; site infrastructure - mainly drainage issues and waste acceptance and storage.  Some initial non-compliances have been rectified.
","South Camp, Chapelcross, Creca Yd, Annan",Poor,55.0109511,-3.2249601,Metal Recycling & ELV,1
-,"247 Shettleston Road, Glasgow",Poor,55.8545113,-4.1935118,Metal Recycling & ELV,1
The site has been assessed as Poor due to a major breach relating to off-site litter.,"Lowmac Alloys, Unit 22, Oldhall West, Irvine",Poor,55.5955599,-4.6388155,Transfer Station & Associated Activities,1
"Waste stored outwith site boundary.
","Strathclyde Alloys MR, Orbiston St, Motherwe",Poor,55.7836984,-3.9759366,Metal Recycling & ELV,1
"Licence Suspended for carrying out activities outwith the scope of the licence and the volumes of waste stored on site.
","Bardykes Bing (Part Suspended), Cambuslang",Poor,55.8034904,-4.1182127,Other Treatment Activities,1
"Waste being stored beyond permitted maximum storage period. Inadequate drainage of working surfaces.
","Reigart, 16 Hornock Rd, Coatbridge",Poor,55.8738849,-4.0401383,Transfer Station & Associated Activities,1
"The site has been assessed as Poor due to a lack of impermeable working surfaces and an adequate drainage system.
","Ayrshire Recycling Centre, Shewalton Road",Poor,55.5984729,-4.6504414,Transfer Station & Associated Activities,1
"The site has been assessed as Poor because of an environmental limit breach, namely ongoing landfill activity after the licensed deadline of 15 October 2012.","High Boydston Farm Landfill, Ardrossan",Poor,55.6707127,-4.8217572,Disposal & Associated Activities,1
"Non-conforming waste accepted, breach of maximum waste storage duration and issues with record keeping.  Some improvements and compliance noted at further inspections.","Composting Facility, Ardeer Site, Stevenston",Poor,55.6329869,-4.7336345,Other Treatment Activities,1
Correct infrastructure for keeping and treating vehicles is not in place. Data returns not submitted.,"Gourock Waste Metals, 3 Cardwell Rd, Gourock",Poor,55.9557335,-4.8094692,Metal Recycling & ELV,1
-,"Wyndford Garage, Knockentiber, Kilmarnock",Poor,55.6250863,-4.5436253,Metal Recycling & ELV,1
Site has a gross failure for the storage of tyres.  The operator also failed to submit their waste data reports.,"Irvine Car Spares, Portland Pl. Irvine KA12",Poor,55.6060635,-4.6747179,Metal Recycling & ELV,1
"Numerous non-compliances; relating to site infrasturcture including drainage, management  proceedures & pollution control
","Muirhead Autoparts ELV,Unit 2,Woodhead IndEst",Poor,55.8920024,-4.1130881,Metal Recycling & ELV,1
"Waste storage exceeds permitted maximum storage time allowed. Poor mainentance of working surfaces and non-compliant drainage system in place.
","Strathclyde Skip Hire TS, Overton Rd,Newmains",Poor,55.7689415,-3.8883151,Transfer Station & Associated Activities,1
-,"Glasgow Council,Vehicle Compound,Bridgeton",Poor,55.8499369,-4.2186545,Metal Recycling & ELV,1
"Site infrastructure not up to standards required in licence / ELV guidance; other minor non-compliances. Data return not received. 
","M B Export ELV, 21 Meadow Rd,Motherwell,N.Lan",Poor,55.7848508,-3.9780364,Metal Recycling & ELV,1
-,"Bankell Farm,  Milngavie",Poor,55.9513293,-4.2883484,Transfer Station & Associated Activities,1
"The overall CAS for 2014 is 'very poor' as a result of a failure of the inlet works resulting in a discharge of unscreened and untreated sewage to the River Teviot via the inlet combined sewer overflow. The incident resulted in significant impact on the River Teviot. Also there were a number of minor maintenance issues throughout year. 
","Hawick STW, Mansfield Road, Hawick",Very Poor,55.4315605,-2.7713329,Sewage (Public),2
"Discharge location is not at the authorised point into the River Carron, but is into the Overton Burn.  Effluent samples failed the licence limits. There have been problems with compliance with telemetry and visual/audible alarm requirements.","Broadside Court, Broadside, Denny, FK6 5JE",Very Poor,56.0275515,-3.9768323,Sewage (Private),2
"Exceedence of numeric effluent limits and licence reporting issues. Action plan implemented to address non-compliance.
","Clachbreac Hatchery, Ormsary",Very Poor,55.92448,-5.5720165,Fish farming,2
Site compliance has been marked down due to failing discharge consent and data returns submitted being incomplete.   ,Cleland (Swinstie) Sewage Treatment Works,Very Poor,55.7963802,-3.9055713,Sewage (Public),2
"This site has generally performed well, but the overall band has been recorded as 'very poor' as there is an Emergency Overflow in place that is not licensed, and some flow data has not been provided. Scottish Water has been advised to make an appropriate application to SEPA to include the overflow within the authorisation.  ","E.Kilbride Allers STW, Barrie Rd, E.Kilbride",Very Poor,55.7801157,-4.1349995,Sewage (Public),2
"Some aspects of the works have operated in a satisfactory fashion but a major issue with storm tank operation during the first six months of the year had a significant adverse effect on the compliance score. Continuing deficiencies in screening and event recorders are due to be addressed during the SR15 upgrade works.  
","Dalmarnock STW, Cotton St, Dalmarnock,Glasgow",Very Poor,55.8349947,-4.2209397,Sewage (Public),2
Site has been marked as Very Poor due to inadequate management of the storm sewage storage tanks resulting in the tanks being full and no fuctional capacity being available.  Data returns submitted to SEPA also have 184 days data missing.  ,"Larkhall (Skellyton) STW, Skellyton, Larkhall",Very Poor,55.7463423,-3.9592554,Sewage (Public),2
The site has been classified as very poor due to breaches in both environmental licence conditions (pollution event in March 2014 that caused discolouration in the receiving watercourse) and environmental management conditions (non-submission of overflow monitoring data).,"Troqueer WWTW, Hamilton Stark Park, Dumfries",Very Poor,55.0544475,-3.6127005,Sewage (Public),2
